Academic Year,LEA Number,LEA Name,School Number,School Name,Grade Title,Enrolled Count,Create Date
2009,01,Allegany,0301,Flintstone Elementary,Prekindergarten,15,20111104
2009,01,Allegany,0301,Flintstone Elementary,Kindergarten,33,20111104
2009,01,Allegany,0301,Flintstone Elementary,Grade 1,40,20111104
2009,01,Allegany,0301,Flintstone Elementary,Grade 2,35,20111104
2009,01,Allegany,0301,Flintstone Elementary,Grade 3,43,20111104
2009,01,Allegany,0301,Flintstone Elementary,Grade 4,35,20111104
2009,01,Allegany,0301,Flintstone Elementary,Grade 5,43,20111104
2009,01,Allegany,0301,Flintstone Elementary,Total Enrollment,244,20111104
2009,01,Allegany,0401,South Penn Elementary,Prekindergarten,63,20111104
2009,01,Allegany,0401,South Penn Elementary,Kindergarten,70,20111104
2009,01,Allegany,0401,South Penn Elementary,Grade 1,89,20111104
2009,01,Allegany,0401,South Penn Elementary,Grade 2,69,20111104
2009,01,Allegany,0401,South Penn Elementary,Grade 3,71,20111104
2009,01,Allegany,0401,South Penn Elementary,Grade 4,76,20111104
2009,01,Allegany,0401,South Penn Elementary,Grade 5,65,20111104
2009,01,Allegany,0401,South Penn Elementary,Total Enrollment,503,20111104
2009,01,Allegany,0402,John Humbird Elementary,Prekindergarten,42,20111104
2009,01,Allegany,0402,John Humbird Elementary,Kindergarten,44,20111104
2009,01,Allegany,0402,John Humbird Elementary,Grade 1,59,20111104
2009,01,Allegany,0402,John Humbird Elementary,Grade 2,50,20111104
2009,01,Allegany,0402,John Humbird Elementary,Grade 3,50,20111104
2009,01,Allegany,0402,John Humbird Elementary,Grade 4,48,20111104
2009,01,Allegany,0402,John Humbird Elementary,Grade 5,49,20111104
2009,01,Allegany,0402,John Humbird Elementary,Total Enrollment,342,20111104
2009,01,Allegany,0405,Fort Hill High,Grade 9,248,20111104
2009,01,Allegany,0405,Fort Hill High,Grade 10,253,20111104
2009,01,Allegany,0405,Fort Hill High,Grade 11,211,20111104
2009,01,Allegany,0405,Fort Hill High,Grade 12,250,20111104
2009,01,Allegany,0405,Fort Hill High,Total Enrollment,962,20111104
2009,01,Allegany,0406,Washington Middle,Grade 6,233,20111104
2009,01,Allegany,0406,Washington Middle,Grade 7,213,20111104
2009,01,Allegany,0406,Washington Middle,Grade 8,235,20111104
2009,01,Allegany,0406,Washington Middle,Grade 9,*,20111104
2009,01,Allegany,0406,Washington Middle,Total Enrollment,682,20111104
2009,01,Allegany,0502,Northeast Elementary,Prekindergarten,34,20111104
2009,01,Allegany,0502,Northeast Elementary,Kindergarten,46,20111104
2009,01,Allegany,0502,Northeast Elementary,Grade 1,52,20111104
2009,01,Allegany,0502,Northeast Elementary,Grade 2,51,20111104
2009,01,Allegany,0502,Northeast Elementary,Grade 3,54,20111104
2009,01,Allegany,0502,Northeast Elementary,Grade 4,66,20111104
2009,01,Allegany,0502,Northeast Elementary,Grade 5,52,20111104
2009,01,Allegany,0502,Northeast Elementary,Total Enrollment,355,20111104
2009,01,Allegany,0504,Braddock Middle,Grade 6,190,20111104
2009,01,Allegany,0504,Braddock Middle,Grade 7,208,20111104
2009,01,Allegany,0504,Braddock Middle,Grade 8,205,20111104
2009,01,Allegany,0504,Braddock Middle,Total Enrollment,603,20111104
2009,01,Allegany,0602,Allegany County Evening High School,Grade 12,*,20111104
2009,01,Allegany,0602,Allegany County Evening High School,Total Enrollment,*,20111104
