Academic Year,LEA Number,LEA Name,School Number,School Name,Grade,Enrolled Count,Create Date
2014,01,Allegany,0301,Flintstone Elementary,Prekindergarten,21,20140630
2014,01,Allegany,0301,Flintstone Elementary,Kindergarten,41,20140630
2014,01,Allegany,0301,Flintstone Elementary,Grade 1,35,20140630
2014,01,Allegany,0301,Flintstone Elementary,Grade 2,33,20140630
2014,01,Allegany,0301,Flintstone Elementary,Grade 3,32,20140630
2014,01,Allegany,0301,Flintstone Elementary,Grade 4,34,20140630
2014,01,Allegany,0301,Flintstone Elementary,Grade 5,31,20140630
2014,01,Allegany,0301,Flintstone Elementary,Total Enrollment,227,20140630
2014,01,Allegany,0401,South Penn Elementary,Prekindergarten,76,20140630
2014,01,Allegany,0401,South Penn Elementary,Kindergarten,84,20140630
2014,01,Allegany,0401,South Penn Elementary,Grade 1,64,20140630
2014,01,Allegany,0401,South Penn Elementary,Grade 2,72,20140630
2014,01,Allegany,0401,South Penn Elementary,Grade 3,60,20140630
2014,01,Allegany,0401,South Penn Elementary,Grade 4,76,20140630
2014,01,Allegany,0401,South Penn Elementary,Grade 5,65,20140630
2014,01,Allegany,0401,South Penn Elementary,Total Enrollment,497,20140630
2014,01,Allegany,0402,John Humbird Elementary,Prekindergarten,34,20140630
2014,01,Allegany,0402,John Humbird Elementary,Kindergarten,38,20140630
2014,01,Allegany,0402,John Humbird Elementary,Grade 1,47,20140630
2014,01,Allegany,0402,John Humbird Elementary,Grade 2,42,20140630
2014,01,Allegany,0402,John Humbird Elementary,Grade 3,39,20140630
2014,01,Allegany,0402,John Humbird Elementary,Grade 4,49,20140630
2014,01,Allegany,0402,John Humbird Elementary,Grade 5,42,20140630
2014,01,Allegany,0402,John Humbird Elementary,Total Enrollment,291,20140630
2014,01,Allegany,0405,Fort Hill High,Grade 9,227,20140630
2014,01,Allegany,0405,Fort Hill High,Grade 10,202,20140630
2014,01,Allegany,0405,Fort Hill High,Grade 11,173,20140630
