Academic Year,LSS Number,LSS Name,School Number,School Name,Grade,Enrolled Count,Create Date
2019,1,Allegany,301,Flintstone Elementary,Prekindergarten,13,20190903
2019,1,Allegany,301,Flintstone Elementary,Kindergarten,31,20190903
2019,1,Allegany,301,Flintstone Elementary,Grade 1,36,20190903
2019,1,Allegany,301,Flintstone Elementary,Grade 2,28,20190903
2019,1,Allegany,301,Flintstone Elementary,Grade 3,40,20190903
2019,1,Allegany,301,Flintstone Elementary,Grade 4,38,20190903
2019,1,Allegany,301,Flintstone Elementary,Grade 5,40,20190903
2019,1,Allegany,301,Flintstone Elementary,Total Enrollment,226,20190903
2019,1,Allegany,401,South Penn Elementary,Prekindergarten,76,20190903
2019,1,Allegany,401,South Penn Elementary,Kindergarten,93,20190903
2019,1,Allegany,401,South Penn Elementary,Grade 1,77,20190903
2019,1,Allegany,401,South Penn Elementary,Grade 2,79,20190903
2019,1,Allegany,401,South Penn Elementary,Grade 3,81,20190903
2019,1,Allegany,401,South Penn Elementary,Grade 4,78,20190903
2019,1,Allegany,401,South Penn Elementary,Grade 5,82,20190903
2019,1,Allegany,401,South Penn Elementary,Total Enrollment,566,20190903
2019,1,Allegany,402,John Humbird Elementary,Prekindergarten,25,20190903
2019,1,Allegany,402,John Humbird Elementary,Kindergarten,36,20190903
2019,1,Allegany,402,John Humbird Elementary,Grade 1,41,20190903
2019,1,Allegany,402,John Humbird Elementary,Grade 2,52,20190903
2019,1,Allegany,402,John Humbird Elementary,Grade 3,46,20190903
2019,1,Allegany,402,John Humbird Elementary,Grade 4,39,20190903
2019,1,Allegany,402,John Humbird Elementary,Grade 5,34,20190903
2019,1,Allegany,402,John Humbird Elementary,Total Enrollment,273,20190903
2019,1,Allegany,405,Fort Hill High,Grade 9,175,20190903
2019,1,Allegany,405,Fort Hill High,Grade 10,191,20190903
2019,1,Allegany,405,Fort Hill High,Grade 11,165,20190903
2019,1,Allegany,405,Fort Hill High,Grade 12,184,20190903
2019,1,Allegany,405,Fort Hill High,Total Enrollment,715,20190903
2019,1,Allegany,406,Washington Middle,Grade 6,208,20190903
2019,1,Allegany,406,Washington Middle,Grade 7,197,20190903
2019,1,Allegany,406,Washington Middle,Grade 8,187,20190903
2019,1,Allegany,406,Washington Middle,Total Enrollment,592,20190903
2019,1,Allegany,502,Northeast Elementary,Prekindergarten,38,20190903
2019,1,Allegany,502,Northeast Elementary,Kindergarten,42,20190903
2019,1,Allegany,502,Northeast Elementary,Grade 1,47,20190903
2019,1,Allegany,502,Northeast Elementary,Grade 2,55,20190903
2019,1,Allegany,502,Northeast Elementary,Grade 3,47,20190903
2019,1,Allegany,502,Northeast Elementary,Grade 4,45,20190903
2019,1,Allegany,502,Northeast Elementary,Grade 5,49,20190903
2019,1,Allegany,502,Northeast Elementary,Total Enrollment,323,20190903
2019,1,Allegany,504,Braddock Middle,Grade 6,209,20190903
2019,1,Allegany,504,Braddock Middle,Grade 7,219,20190903
2019,1,Allegany,504,Braddock Middle,Grade 8,172,20190903
2019,1,Allegany,504,Braddock Middle,Total Enrollment,600,20190903
2019,1,Allegany,601,Center for Career & Technical Education,Grade 11,92,20190903
2019,1,Allegany,601,Center for Career & Technical Education,Grade 12,127,20190903
2019,1,Allegany,601,Center for Career & Technical Education,Total Enrollment,219,20190903
2019,1,Allegany,603,West Side Elementary,Prekindergarten,33,20190903
2019,1,Allegany,603,West Side Elementary,Kindergarten,58,20190903
2019,1,Allegany,603,West Side Elementary,Grade 1,63,20190903
2019,1,Allegany,603,West Side Elementary,Grade 2,63,20190903
2019,1,Allegany,603,West Side Elementary,Grade 3,50,20190903
2019,1,Allegany,603,West Side Elementary,Grade 4,63,20190903
2019,1,Allegany,603,West Side Elementary,Grade 5,75,20190903
2019,1,Allegany,603,West Side Elementary,Total Enrollment,405,20190903
2019,1,Allegany,606,Allegany High,Grade 9,211,20190903
2019,1,Allegany,606,Allegany High,Grade 10,190,20190903
2019,1,Allegany,606,Allegany High,Grade 11,171,20190903
2019,1,Allegany,606,Allegany High,Grade 12,149,20190903
2019,1,Allegany,606,Allegany High,Total Enrollment,721,20190903
2019,1,Allegany,701,Cresaptown Elementary,Prekindergarten,28,20190903
2019,1,Allegany,701,Cresaptown Elementary,Kindergarten,44,20190903
2019,1,Allegany,701,Cresaptown Elementary,Grade 1,54,20190903
2019,1,Allegany,701,Cresaptown Elementary,Grade 2,49,20190903
2019,1,Allegany,701,Cresaptown Elementary,Grade 3,46,20190903
2019,1,Allegany,701,Cresaptown Elementary,Grade 4,54,20190903
2019,1,Allegany,701,Cresaptown Elementary,Grade 5,46,20190903
2019,1,Allegany,701,Cresaptown Elementary,Total Enrollment,321,20190903
2019,1,Allegany,702,Bel Air Elementary,Prekindergarten,16,20190903
2019,1,Allegany,702,Bel Air Elementary,Kindergarten,32,20190903
2019,1,Allegany,702,Bel Air Elementary,Grade 1,34,20190903
2019,1,Allegany,702,Bel Air Elementary,Grade 2,29,20190903
2019,1,Allegany,702,Bel Air Elementary,Grade 3,48,20190903
2019,1,Allegany,702,Bel Air Elementary,Grade 4,36,20190903
2019,1,Allegany,702,Bel Air Elementary,Grade 5,32,20190903
2019,1,Allegany,702,Bel Air Elementary,Total Enrollment,227,20190903
2019,1,Allegany,801,Westernport Elementary,Prekindergarten,34,20190903
2019,1,Allegany,801,Westernport Elementary,Kindergarten,38,20190903
2019,1,Allegany,801,Westernport Elementary,Grade 1,38,20190903
2019,1,Allegany,801,Westernport Elementary,Grade 2,35,20190903
2019,1,Allegany,801,Westernport Elementary,Grade 3,40,20190903
2019,1,Allegany,801,Westernport Elementary,Grade 4,40,20190903
2019,1,Allegany,801,Westernport Elementary,Grade 5,48,20190903
2019,1,Allegany,801,Westernport Elementary,Total Enrollment,273,20190903
2019,1,Allegany,802,Westmar Middle,Grade 6,89,20190903
2019,1,Allegany,802,Westmar Middle,Grade 7,98,20190903
2019,1,Allegany,802,Westmar Middle,Grade 8,86,20190903
2019,1,Allegany,802,Westmar Middle,Total Enrollment,273,20190903
2019,1,Allegany,1001,George's Creek Elementary,Prekindergarten,39,20190903
2019,1,Allegany,1001,George's Creek Elementary,Kindergarten,39,20190903
2019,1,Allegany,1001,George's Creek Elementary,Grade 1,47,20190903
2019,1,Allegany,1001,George's Creek Elementary,Grade 2,44,20190903
2019,1,Allegany,1001,George's Creek Elementary,Grade 3,38,20190903
2019,1,Allegany,1001,George's Creek Elementary,Grade 4,54,20190903
2019,1,Allegany,1001,George's Creek Elementary,Grade 5,41,20190903
2019,1,Allegany,1001,George's Creek Elementary,Total Enrollment,302,20190903
2019,1,Allegany,1101,Frost Elementary,Prekindergarten,13,20190903
2019,1,Allegany,1101,Frost Elementary,Kindergarten,16,20190903
2019,1,Allegany,1101,Frost Elementary,Grade 1,41,20190903
2019,1,Allegany,1101,Frost Elementary,Grade 2,29,20190903
2019,1,Allegany,1101,Frost Elementary,Grade 3,41,20190903
2019,1,Allegany,1101,Frost Elementary,Grade 4,32,20190903
2019,1,Allegany,1101,Frost Elementary,Grade 5,43,20190903
2019,1,Allegany,1101,Frost Elementary,Total Enrollment,215,20190903
2019,1,Allegany,1301,Mount Savage Middle,Grade 6,135,20190903
2019,1,Allegany,1301,Mount Savage Middle,Grade 7,118,20190903
2019,1,Allegany,1301,Mount Savage Middle,Grade 8,135,20190903
2019,1,Allegany,1301,Mount Savage Middle,Total Enrollment,388,20190903
