Year,LSS,LSS Name,School,School Name,Grade,Enrolled Count,Create Date
2021,01,Allegany,0301,Flintstone Elementary,Prekindergarten Age 4,13,20210127
2021,01,Allegany,0301,Flintstone Elementary,Kindergarten,28,20210127
2021,01,Allegany,0301,Flintstone Elementary,Grade 1,29,20210127
2021,01,Allegany,0301,Flintstone Elementary,Grade 2,27,20210127
2021,01,Allegany,0301,Flintstone Elementary,Grade 3,39,20210127
2021,01,Allegany,0301,Flintstone Elementary,Grade 4,32,20210127
2021,01,Allegany,0301,Flintstone Elementary,Grade 5,37,20210127
2021,01,Allegany,0301,Flintstone Elementary,All Grades,205,20210127
2021,01,Allegany,0401,South Penn Elementary,Prekindergarten Age 4,56,20210127
2021,01,Allegany,0401,South Penn Elementary,Kindergarten,69,20210127
2021,01,Allegany,0401,South Penn Elementary,Grade 1,58,20210127
2021,01,Allegany,0401,South Penn Elementary,Grade 2,83,20210127
2021,01,Allegany,0401,South Penn Elementary,Grade 3,74,20210127
2021,01,Allegany,0401,South Penn Elementary,Grade 4,78,20210127
2021,01,Allegany,0401,South Penn Elementary,Grade 5,79,20210127
2021,01,Allegany,0401,South Penn Elementary,All Grades,497,20210127
2021,01,Allegany,0402,John Humbird Elementary,Prekindergarten Age 4,14,20210127
2021,01,Allegany,0402,John Humbird Elementary,Kindergarten,30,20210127
2021,01,Allegany,0402,John Humbird Elementary,Grade 1,30,20210127
2021,01,Allegany,0402,John Humbird Elementary,Grade 2,31,20210127
2021,01,Allegany,0402,John Humbird Elementary,Grade 3,35,20210127
2021,01,Allegany,0402,John Humbird Elementary,Grade 4,50,20210127
2021,01,Allegany,0402,John Humbird Elementary,Grade 5,43,20210127
2021,01,Allegany,0402,John Humbird Elementary,All Grades,233,20210127
2021,01,Allegany,0405,Fort Hill High,Grade 9,191,20210127
2021,01,Allegany,0405,Fort Hill High,Grade 10,178,20210127
2021,01,Allegany,0405,Fort Hill High,Grade 11,126,20210127
2021,01,Allegany,0405,Fort Hill High,Grade 12,162,20210127
2021,01,Allegany,0405,Fort Hill High,All Grades,657,20210127
2021,01,Allegany,0406,Washington Middle,Grade 6,201,20210127
2021,01,Allegany,0406,Washington Middle,Grade 7,202,20210127
2021,01,Allegany,0406,Washington Middle,Grade 8,206,20210127
2021,01,Allegany,0406,Washington Middle,All Grades,609,20210127
2021,01,Allegany,0502,Northeast Elementary,Prekindergarten Age 4,15,20210127
2021,01,Allegany,0502,Northeast Elementary,Kindergarten,32,20210127
2021,01,Allegany,0502,Northeast Elementary,Grade 1,47,20210127
