Year,LSS,LSS Name,School,School Name,Race,Enrolled Count,Create Date
2021,01,Allegany,0301,Flintstone Elementary,Black or African American,*,20210127
2021,01,Allegany,0301,Flintstone Elementary,White,193,20210127
2021,01,Allegany,0301,Flintstone Elementary,Hispanic/Latino of any race,*,20210127
2021,01,Allegany,0301,Flintstone Elementary,Two or more races,*,20210127
2021,01,Allegany,0301,Flintstone Elementary,All,205,20210127
2021,01,Allegany,0401,South Penn Elementary,Asian,*,20210127
2021,01,Allegany,0401,South Penn Elementary,Black or African American,40,20210127
2021,01,Allegany,0401,South Penn Elementary,White,361,20210127
2021,01,Allegany,0401,South Penn Elementary,Hispanic/Latino of any race,*,20210127
2021,01,Allegany,0401,South Penn Elementary,Two or more races,85,20210127
2021,01,Allegany,0401,South Penn Elementary,All,497,20210127
2021,01,Allegany,0402,John Humbird Elementary,Black or African American,21,20210127
2021,01,Allegany,0402,John Humbird Elementary,White,176,20210127
2021,01,Allegany,0402,John Humbird Elementary,Hispanic/Latino of any race,*,20210127
2021,01,Allegany,0402,John Humbird Elementary,Two or more races,33,20210127
2021,01,Allegany,0402,John Humbird Elementary,All,233,20210127
2021,01,Allegany,0405,Fort Hill High,Asian,*,20210127
2021,01,Allegany,0405,Fort Hill High,Black or African American,39,20210127
2021,01,Allegany,0405,Fort Hill High,White,556,20210127
2021,01,Allegany,0405,Fort Hill High,Hispanic/Latino of any race,14,20210127
2021,01,Allegany,0405,Fort Hill High,Two or more races,47,20210127
2021,01,Allegany,0405,Fort Hill High,All,657,20210127
2021,01,Allegany,0406,Washington Middle,American Indian or Alaska Native,*,20210127
2021,01,Allegany,0406,Washington Middle,Asian,*,20210127
2021,01,Allegany,0406,Washington Middle,Black or African American,27,20210127
2021,01,Allegany,0406,Washington Middle,White,516,20210127
2021,01,Allegany,0406,Washington Middle,Hispanic/Latino of any race,*,20210127
2021,01,Allegany,0406,Washington Middle,Native Hawaiian or Other Pacific Islander,*,20210127
2021,01,Allegany,0406,Washington Middle,Two or more races,53,20210127
2021,01,Allegany,0406,Washington Middle,All,609,20210127
2021,01,Allegany,0502,Northeast Elementary,Black or African American,14,20210127
2021,01,Allegany,0502,Northeast Elementary,White,228,20210127
2021,01,Allegany,0502,Northeast Elementary,Hispanic/Latino of any race,*,20210127
2021,01,Allegany,0502,Northeast Elementary,Two or more races,24,20210127
2021,01,Allegany,0502,Northeast Elementary,All,269,20210127
2021,01,Allegany,0504,Braddock Middle,American Indian or Alaska Native,*,20210127
2021,01,Allegany,0504,Braddock Middle,Asian,*,20210127
2021,01,Allegany,0504,Braddock Middle,Black or African American,28,20210127
2021,01,Allegany,0504,Braddock Middle,White,502,20210127
2021,01,Allegany,0504,Braddock Middle,Hispanic/Latino of any race,14,20210127
2021,01,Allegany,0504,Braddock Middle,Native Hawaiian or Other Pacific Islander,*,20210127
2021,01,Allegany,0504,Braddock Middle,Two or more races,52,20210127
2021,01,Allegany,0504,Braddock Middle,All,605,20210127
2021,01,Allegany,0601,Center for Career & Technical Education,American Indian or Alaska Native,*,20210127
2021,01,Allegany,0601,Center for Career & Technical Education,Black or African American,*,20210127
2021,01,Allegany,0601,Center for Career & Technical Education,White,245,20210127
2021,01,Allegany,0601,Center for Career & Technical Education,Hispanic/Latino of any race,*,20210127
2021,01,Allegany,0601,Center for Career & Technical Education,Two or more races,*,20210127
2021,01,Allegany,0601,Center for Career & Technical Education,All,258,20210127
2021,01,Allegany,0603,West Side Elementary,American Indian or Alaska Native,*,20210127
2021,01,Allegany,0603,West Side Elementary,Asian,*,20210127
2021,01,Allegany,0603,West Side Elementary,Black or African American,22,20210127
2021,01,Allegany,0603,West Side Elementary,White,240,20210127
2021,01,Allegany,0603,West Side Elementary,Hispanic/Latino of any race,*,20210127
2021,01,Allegany,0603,West Side Elementary,Two or more races,47,20210127
2021,01,Allegany,0603,West Side Elementary,All,319,20210127
2021,01,Allegany,0606,Allegany High,American Indian or Alaska Native,*,20210127
2021,01,Allegany,0606,Allegany High,Asian,11,20210127
2021,01,Allegany,0606,Allegany High,Black or African American,24,20210127
2021,01,Allegany,0606,Allegany High,White,628,20210127
2021,01,Allegany,0606,Allegany High,Hispanic/Latino of any race,20,20210127
2021,01,Allegany,0606,Allegany High,Native Hawaiian or Other Pacific Islander,*,20210127
2021,01,Allegany,0606,Allegany High,Two or more races,50,20210127
2021,01,Allegany,0606,Allegany High,All,736,20210127
2021,01,Allegany,0701,Cresaptown Elementary,American Indian or Alaska Native,*,20210127
2021,01,Allegany,0701,Cresaptown Elementary,Asian,*,20210127
2021,01,Allegany,0701,Cresaptown Elementary,Black or African American,*,20210127
2021,01,Allegany,0701,Cresaptown Elementary,White,251,20210127
2021,01,Allegany,0701,Cresaptown Elementary,Hispanic/Latino of any race,*,20210127
2021,01,Allegany,0701,Cresaptown Elementary,Native Hawaiian or Other Pacific Islander,*,20210127
2021,01,Allegany,0701,Cresaptown Elementary,Two or more races,17,20210127
2021,01,Allegany,0701,Cresaptown Elementary,All,287,20210127
2021,01,Allegany,0702,Bel Air Elementary,Asian,*,20210127
2021,01,Allegany,0702,Bel Air Elementary,White,202,20210127
2021,01,Allegany,0702,Bel Air Elementary,Hispanic/Latino of any race,*,20210127
2021,01,Allegany,0702,Bel Air Elementary,Two or more races,*,20210127
2021,01,Allegany,0702,Bel Air Elementary,All,216,20210127
2021,01,Allegany,0801,Westernport Elementary,Black or African American,*,20210127
2021,01,Allegany,0801,Westernport Elementary,White,239,20210127
2021,01,Allegany,0801,Westernport Elementary,Hispanic/Latino of any race,*,20210127
2021,01,Allegany,0801,Westernport Elementary,Native Hawaiian or Other Pacific Islander,*,20210127
2021,01,Allegany,0801,Westernport Elementary,Two or more races,10,20210127
2021,01,Allegany,0801,Westernport Elementary,All,256,20210127
2021,01,Allegany,0802,Westmar Middle,White,241,20210127
2021,01,Allegany,0802,Westmar Middle,Hispanic/Latino of any race,*,20210127
2021,01,Allegany,0802,Westmar Middle,Two or more races,*,20210127
2021,01,Allegany,0802,Westmar Middle,All,256,20210127
2021,01,Allegany,1001,George's Creek Elementary,Asian,*,20210127
2021,01,Allegany,1001,George's Creek Elementary,White,241,20210127
2021,01,Allegany,1001,George's Creek Elementary,Two or more races,*,20210127
2021,01,Allegany,1001,George's Creek Elementary,All,244,20210127
2021,01,Allegany,1101,Frost Elementary,Asian,*,20210127
2021,01,Allegany,1101,Frost Elementary,White,179,20210127
2021,01,Allegany,1101,Frost Elementary,Hispanic/Latino of any race,*,20210127
2021,01,Allegany,1101,Frost Elementary,Two or more races,*,20210127
2021,01,Allegany,1101,Frost Elementary,All,192,20210127
2021,01,Allegany,1301,Mount Savage Middle,American Indian or Alaska Native,*,20210127
2021,01,Allegany,1301,Mount Savage Middle,Asian,*,20210127
2021,01,Allegany,1301,Mount Savage Middle,Black or African American,*,20210127
2021,01,Allegany,1301,Mount Savage Middle,White,355,20210127
2021,01,Allegany,1301,Mount Savage Middle,Hispanic/Latino of any race,*,20210127
2021,01,Allegany,1301,Mount Savage Middle,Native Hawaiian or Other Pacific Islander,*,20210127
2021,01,Allegany,1301,Mount Savage Middle,Two or more races,13,20210127
2021,01,Allegany,1301,Mount Savage Middle,All,383,20210127
2021,01,Allegany,1302,Mt. Savage Elementary,American Indian or Alaska Native,*,20210127
2021,01,Allegany,1302,Mt. Savage Elementary,Black or African American,*,20210127
2021,01,Allegany,1302,Mt. Savage Elementary,White,181,20210127
2021,01,Allegany,1302,Mt. Savage Elementary,Hispanic/Latino of any race,*,20210127
2021,01,Allegany,1302,Mt. Savage Elementary,Two or more races,*,20210127
2021,01,Allegany,1302,Mt. Savage Elementary,All,186,20210127
2021,01,Allegany,2404,Mountain Ridge High School,American Indian or Alaska Native,*,20210127
2021,01,Allegany,2404,Mountain Ridge High School,Asian,*,20210127
2021,01,Allegany,2404,Mountain Ridge High School,Black or African American,17,20210127
2021,01,Allegany,2404,Mountain Ridge High School,White,712,20210127
2021,01,Allegany,2404,Mountain Ridge High School,Hispanic/Latino of any race,12,20210127
2021,01,Allegany,2404,Mountain Ridge High School,Two or more races,23,20210127
